Date,P5,P50,P95
2025-01-15,670.3521899734048,918.7290835552574,1180.5695011808227
2025-01-16,671.1875555966072,920.3801852038725,1188.0219387359407
2025-01-17,667.1936089638541,918.3921573595226,1191.528276456059
2025-01-20,665.0958787736126,919.5868068774478,1197.0064853744668
2025-01-21,665.1371769736187,917.7900755185317,1196.0694775646245
2025-01-22,658.4134876840807,917.3694759669813,1195.098550964178
2025-01-23,662.8371090515329,918.4624788734343,1194.0458911241449
2025-01-24,666.3898432291634,920.836414934854,1192.571779250424
2025-01-27,662.3975659399279,921.1953708375104,1199.2261630365085
2025-01-28,660.8550754033944,922.0912333885187,1202.443675302586
2025-01-29,663.5260052206611,920.9537017575104,1202.0534478972393
2025-01-30,659.7178220279219,922.4390387435989,1202.052598416625
2025-01-31,658.8624157797241,921.4104463747258,1206.9554801472775
2025-02-03,657.8355739269111,920.5609109579359,1209.2935453571968
2025-02-04,657.016176324928,921.3424309356797,1200.1887660879647
2025-02-05,654.0222504596047,922.6967196866726,1206.9892863125135
2025-02-06,660.3593418073775,921.2616972654637,1201.082470810764
2025-02-07,656.2562733695423,919.2744140123367,1202.6299190518196
2025-02-10,659.7327795522582,921.6721691788931,1203.8683078538236
2025-02-11,656.1623539860057,922.3551382838423,1203.4495077813885
2025-02-12,654.284142423239,920.3097087827098,1203.2733354119916
2025-02-13,654.9858510845544,920.0385771784238,1201.973651435333
2025-02-14,649.3486925798552,919.362360055067,1200.8570506373765
2025-02-17,657.8118260654693,918.697619132517,1199.2438192673505
2025-02-18,652.4455554924875,921.4214806704128,1202.1080146839756
2025-02-19,649.5351114850787,918.918951568505,1204.2531668335887
2025-02-20,649.7990678066742,919.3642499096687,1199.3520843074996
2025-02-21,647.8383257758059,917.6354508103777,1203.2752986198284
2025-02-24,649.0505052722638,918.1391440288393,1211.5930183910127
2025-02-25,648.9918461340611,919.512725193129,1206.7983087528874
2025-02-26,650.6042526856938,919.3787274742006,1212.4031700016535
2025-02-27,644.9175157204413,919.4070788406382,1209.3392349766777
2025-02-28,649.0444177443337,921.0700197086248,1211.3700084956647
2025-03-03,648.6578702932946,920.8580378390404,1212.4827860997157
2025-03-04,648.1804249517709,920.2275083865318,1213.6313167933922
2025-03-05,640.694390503147,918.2278302617259,1207.8268368727056
2025-03-06,639.7819270883277,916.9263362932859,1206.7927975574835
2025-03-07,643.415030036579,919.5337096954287,1213.4055851037278
2025-03-10,637.7741399080504,920.7790688704386,1212.5952592126823
2025-03-11,639.6402842545342,921.2824087598226,1210.0947792647669
2025-03-12,637.4358011847274,922.1820626642259,1210.4186439108355
2025-03-13,636.6634185771172,921.4144185112185,1210.901072945464
2025-03-14,635.6810464451268,921.7536595722265,1212.7592114340264
2025-03-17,636.7658591750131,922.4907610040993,1205.7727096532826
2025-03-18,637.2430646325431,920.873465889934,1214.1950778767555
2025-03-19,638.7192634945927,920.381436867225,1213.7302201967668
2025-03-20,636.0743755877892,920.1263095360889,1212.98733703495
2025-03-21,635.913088717419,921.733203186235,1214.7102009512116
2025-03-24,633.2642106861497,922.1099376552093,1210.9619060806842
2025-03-25,636.2268234221663,924.3035340203835,1209.8499407959257
2025-03-26,634.7884712496372,922.7912089670103,1212.4384618567933
2025-03-27,636.3954614777648,920.8795763504993,1212.3378613615816
2025-03-28,635.2778611065607,924.4070881341324,1214.0767774987692
2025-03-31,632.3328278244084,919.5778124622881,1213.538266004336
2025-04-01,633.476117282593,919.7100647199595,1210.946903107827
2025-04-02,632.5579212918208,924.4868055060442,1215.8594604923112
2025-04-03,638.0957622159764,924.8517389846793,1215.299648661929
2025-04-04,640.3166727229337,924.7389587223948,1216.0712667719722
2025-04-07,639.7507845591922,926.1374241780101,1223.1670597962018
2025-04-08,634.6251365378487,924.3407804656613,1221.1887161328793
2025-04-09,637.9764108447648,924.0425396139003,1227.2422235514791
2025-04-10,632.389163115824,922.3606138704857,1223.5779103429188
2025-04-11,631.8945294157247,923.5967522120407,1222.2713347376698
2025-04-14,628.3238115841577,926.1894504964027,1219.923521328381
2025-04-15,633.9999857164075,926.3485239859142,1214.935220362084
2025-04-16,635.1988481620062,926.1223173550535,1219.0339865848011
2025-04-17,632.7185859455429,928.5431568270308,1219.3875233828871
2025-04-18,635.5769637340745,927.424514019566,1222.8045893558713
2025-04-21,633.6964224539712,923.9748070673907,1222.681411931216
2025-04-22,632.8361449800714,929.6077762581878,1222.127941333757
2025-04-23,638.7126997272493,926.391702098455,1220.121438883784
2025-04-24,637.1413957630785,927.142036117463,1223.0728722044312
2025-04-25,640.1597775973272,925.3042764027016,1223.5553809322018
2025-04-28,643.2194998856579,922.3556693692367,1223.150595995228
2025-04-29,637.2663744489616,921.6051736672312,1224.6315272846416
2025-04-30,634.9882552552165,922.6968560082082,1225.5074569252538
2025-05-01,633.9104242014893,921.928016712324,1221.303114441821
2025-05-02,634.3449836942553,924.5343343570986,1224.0852086270859
2025-05-05,630.9922197977703,925.0274655410146,1227.795285022816
2025-05-06,629.7844674835488,923.3992774576989,1233.049534967335
2025-05-07,633.104547755188,926.1432454830385,1233.1857956497622
2025-05-08,632.0344636984114,926.0995880333262,1236.3449052002738
2025-05-09,632.857205741052,929.2908226217935,1241.0444403896727
2025-05-12,632.7969537814608,923.9024736626823,1231.4105802020968
2025-05-13,629.8863482523833,922.4288894149267,1238.7596620971126
2025-05-14,629.5579344508874,925.666679128833,1242.0795614387716
2025-05-15,633.9320396649777,923.3970527716099,1246.223280935821
2025-05-16,627.8133566200455,921.8056780177163,1241.344483551183
2025-05-19,623.1808030265513,919.312112068835,1242.1470192049717
2025-05-20,621.7674452955054,921.6098147273831,1238.824413691982
2025-05-21,619.9754780590678,920.4925465426527,1244.963546728241
2025-05-22,617.2311561870152,919.2784652176845,1242.5566032935503
2025-05-23,617.39698787913,920.0300336258551,1242.3089551873934
2025-05-26,615.9476898960266,917.3730086635524,1240.3783366262965
2025-05-27,616.5465555628771,922.1634638110729,1245.58000651649
2025-05-28,618.5423043275154,920.3628014744959,1246.9742453968001
2025-05-29,614.7494586575597,923.1315283675273,1251.2961720968754
2025-05-30,612.0472701872574,919.8986190126509,1249.6186358952336
2025-06-02,610.5259763580352,919.3402182382771,1246.021934431772
2025-06-03,609.5382567434452,923.4893976519099,1242.8676025002585
2025-06-04,608.1810753298633,917.406166443889,1244.2182563249
2025-06-05,608.5845581529536,920.4777239364785,1247.0375585483953
2025-06-06,611.2252396984248,919.5959061713058,1247.5895928420869
2025-06-09,604.1224036274289,919.5071012768026,1253.4926046924522
